sex treatment reaction_time_ms
male control 163.1
male control 209.7
male control 169.5
male control 150.4
male control 178.4
male control 181.1
male control 160.6
male control 155
male control 144.9
male control 173.7
male control 132.5
male control 185.4
male control 193.6
male control 127.4
male control 175
male control 150.5
male control 187.3
male control 167.7
male control 202
male control 147.9
male drug 165.6
male drug 170.5
male drug 142.5
male drug 130.5
male drug 150.1
male drug 151.4
male drug 137.7
male drug 155.4
male drug 116
male drug 164.5
male drug 158.4
male drug 161
male drug 139.4
male drug 131.9
male drug 156.5
male drug 140.6
male drug 132.9
male drug 154.3
male drug 151.4
male drug 166.9
female control 188
female control 190.7
female control 179.1
female control 220
female control 169.3
female control 177.5
female control 210.1
female control 192.2
female control 206.7
female control 177.8
female control 220
female control 190.4
female control 205.8
female control 187.3
female control 176.8
female control 182
female control 246.9
female control 167.8
female control 220
female control 197.8
female drug 94
female drug 158.5
female drug 82.1
female drug 103.4
female drug 100.8
female drug 106.3
female drug 125.4
female drug 154
female drug 90.8
female drug 134.2
female drug 91.8
female drug 117.8
female drug 110.2
female drug 117.2
female drug 103.7
female drug 123.9
female drug 89.6
female drug 85.4
female drug 126
female drug 139
