Larval_weight,Sex,Eyespan,Thorax,Wing
24,F,5.374,1.816,2.269
47,F,5.202,1.719,2.178
18,F,5.306,1.599,2.149
28,F,5.721,1.87,2.231
26,F,4.952,1.835,2.172
31,F,5.357,1.771,2.205
34,F,5.264,1.777,2.004
21,F,5.331,1.867,2.132
23,F,5.066,1.77,1.992
37,F,5.46,1.818,2.227
20,F,5.531,1.831,2.087
43,F,4.655,1.413,1.794
36,F,5.57,1.77,2.256
22,F,5.195,1.693,2.21
27,M,7.947,1.939,2.31
49,M,6.977,1.749,2.121
25,M,6.983,1.747,2.086
18,M,8.013,1.931,2.286
24,M,7.764,1.813,2.233
22,M,7.819,1.776,2.374
43,M,7.499,1.776,NA
24,M,7.654,1.955,2.325
33,M,7.63,1.902,2.33
37,M,7.155,1.873,2.181
28,M,7.658,2.041,2.263
28,M,7.803,1.944,2.258
23,M,7.822,1.957,2.351
28,M,7.391,1.786,2.177
29,F,5.601,NA,2.234
38,F,5.216,1.645,2.163
16,F,4.998,1.678,1.795
26,F,5.633,1.776,2.253
30,F,5.313,1.75,2.139
16,F,5.312,NA,2.092
39,F,4.982,1.608,2.008
29,F,5.158,1.711,2.215
37,F,5.165,1.724,2.085
37,F,5.462,1.735,NA
49,F,4.622,NA,1.88
36,F,5.239,1.619,2.146
23,F,5.239,1.671,2.171
26,F,5.314,1.534,2.049
35,F,5.585,1.907,2.245
22,F,5.526,1.873,2.289
28,F,5.177,1.733,NA
27,F,5.515,1.859,2.204
18,F,5.39,1.833,2.218
26,M,7.895,1.778,2.22
16,M,7.177,1.583,2.076
18,M,7.712,1.707,2.292
37,M,8.347,1.823,2.346
14,M,8.228,1.954,2.415
24,M,7.729,1.815,2.336
24,M,7.659,1.674,2.203
23,M,7.816,1.817,2.364
24,M,7.214,1.732,2.124
38,M,8.173,1.836,2.358
43,M,8.023,1.808,2.46
28,M,7.028,1.725,2.177
23,M,8.259,1.774,2.372
32,M,7.492,1.889,2.324
36,M,7.739,1.779,2.212
37,M,7.917,1.817,2.282
37,M,8.098,1.913,2.406
14,F,5.31,1.772,2.122
41,F,5.128,1.483,2.121
31,F,5.031,1.669,2.108
24,F,5.569,1.729,2.194
22,F,5.464,1.771,2.207
32,F,5.546,1.856,2.202
33,F,5.196,1.621,2.186
22,F,5.547,1.881,2.29
25,F,5.418,1.711,2.184
41,F,5.47,1.768,2.214
26,F,4.556,1.524,NA
26,F,5.406,1.88,2.101
20,F,5.342,1.816,2.226
30,F,5.05,1.628,1.965
40,F,5.06,1.704,2.079
28,F,5.168,1.565,2.076
30,M,7.877,1.799,2.159
34,M,7.686,1.801,2.358
22,M,7.615,1.83,2.264
27,M,8.554,2.034,2.34
26,M,7.721,2.008,2.316
25,M,8.124,1.928,2.313
22,M,7.217,1.807,2.088
28,M,7.865,1.806,2.377
41,M,6.927,1.787,2.081
46,M,7.474,1.772,2.3
27,M,7.645,1.869,2.278
34,F,5.346,1.773,2.201
22,F,5.474,1.75,2.206
49,F,5.492,1.696,2.221
17,F,5.415,1.598,2.169
31,F,5.204,1.838,2.173
18,F,5.759,1.694,2.228
24,F,6.132,1.766,2.354
26,F,5.407,1.555,2.334
49,F,5.608,1.741,2.239
38,F,5.526,1.768,2.15
15,F,5.955,1.861,2.316
26,F,5.685,1.727,2.34
32,F,5.956,1.935,2.372
23,F,5.335,1.61,2.181
31,M,7.903,1.857,2.297
63,M,7.667,1.838,2.254
41,M,8.211,1.853,2.343
21,M,7.641,1.846,2.312
16,M,7.833,1.713,2.305
28,M,8.128,1.849,2.403
40,F,5.323,1.734,2.173
42,F,5.591,1.701,2.229
44,F,5.481,1.894,2.255
23,F,5.388,1.786,2.119
18,F,6.179,1.927,2.401
24,F,5.589,1.719,NA
32,F,5.755,1.872,2.324
32,F,6.006,1.889,2.424
25,F,5.485,1.711,2.137
38,F,5.433,1.736,2.179
31,F,5.372,1.747,2.141
54,F,5.811,1.809,2.276
51,F,6.117,1.86,2.383
41,M,8.252,1.974,2.475
22,M,8.041,1.734,2.372
